INFO:tensorflow:step: 2780, lr: 0.000782, klw: 0.1289, cost: 0.2257, recon: 0.1987, kl: 0.2094, train_time_taken: 8.6815
INFO:tensorflow:step: 2800, lr: 0.000780, klw: 0.1297, cost: 0.1677, recon: 0.1407, kl: 0.2085, train_time_taken: 8.4941
INFO:tensorflow:step: 2820, lr: 0.000779, klw: 0.1304, cost: 0.1573, recon: 0.1307, kl: 0.2043, train_time_taken: 8.3904
INFO:tensorflow:step: 2840, lr: 0.000777, klw: 0.1311, cost: 0.2024, recon: 0.1758, kl: 0.2024, train_time_taken: 8.1500
INFO:tensorflow:step: 2860, lr: 0.000776, klw: 0.1319, cost: 0.2067, recon: 0.1802, kl: 0.2013, train_time_taken: 8.4010
INFO:tensorflow:step: 2880, lr: 0.000775, klw: 0.1326, cost: 0.2438, recon: 0.2172, kl: 0.2000, train_time_taken: 8.3433
INFO:tensorflow:step: 2900, lr: 0.000773, klw: 0.1334, cost: 0.1607, recon: 0.1339, kl: 0.2010, train_time_taken: 8.3150
INFO:tensorflow:step: 2920, lr: 0.000772, klw: 0.1341, cost: 0.1681, recon: 0.1408, kl: 0.2040, train_time_taken: 8.2337
INFO:tensorflow:step: 2940, lr: 0.000771, klw: 0.1348, cost: 0.1839, recon: 0.1568, kl: 0.2015, train_time_taken: 8.3996
INFO:tensorflow:step: 2960, lr: 0.000769, klw: 0.1355, cost: 0.1570, recon: 0.1286, kl: 0.2092, train_time_taken: 8.2248
INFO:tensorflow:step: 2980, lr: 0.000768, klw: 0.1363, cost: 0.2558, recon: 0.2266, kl: 0.2139, train_time_taken: 8.3035
INFO:tensorflow:step: 3000, lr: 0.000767, klw: 0.1370, cost: 0.1638, recon: 0.1364, kl: 0.2000, train_time_taken: 8.3100
INFO:tensorflow:step: 3020, lr: 0.000765, klw: 0.1377, cost: 0.1597, recon: 0.1308, kl: 0.2099, train_time_taken: 8.3003
INFO:tensorflow:step: 3040, lr: 0.000764, klw: 0.1385, cost: 0.2018, recon: 0.1735, kl: 0.2044, train_time_taken: 8.3852
INFO:tensorflow:step: 3060, lr: 0.000763, klw: 0.1392, cost: 0.1816, recon: 0.1538, kl: 0.2000, train_time_taken: 8.1498
INFO:tensorflow:step: 3080, lr: 0.000761, klw: 0.1399, cost: 0.2290, recon: 0.1981, kl: 0.2207, train_time_taken: 8.5164
INFO:tensorflow:step: 3100, lr: 0.000760, klw: 0.1406, cost: 0.2225, recon: 0.1942, kl: 0.2014, train_time_taken: 8.2839
INFO:tensorflow:step: 3120, lr: 0.000759, klw: 0.1413, cost: 0.1388, recon: 0.1100, kl: 0.2037, train_time_taken: 8.3764
INFO:tensorflow:step: 3140, lr: 0.000757, klw: 0.1421, cost: 0.1919, recon: 0.1623, kl: 0.2086, train_time_taken: 8.3598
INFO:tensorflow:step: 3160, lr: 0.000756, klw: 0.1428, cost: 0.2201, recon: 0.1915, kl: 0.2000, train_time_taken: 8.3092
INFO:tensorflow:step: 3180, lr: 0.000755, klw: 0.1435, cost: 0.1662, recon: 0.1375, kl: 0.2000, train_time_taken: 8.3784
INFO:tensorflow:step: 3200, lr: 0.000754, klw: 0.1442, cost: 0.1705, recon: 0.1406, kl: 0.2071, train_time_taken: 8.3412
INFO:tensorflow:step: 3220, lr: 0.000752, klw: 0.1449, cost: 0.1662, recon: 0.1352, kl: 0.2137, train_time_taken: 8.3062
